Starting llref benchmarks
We are running llref
All tasks done
Total events: 24
---OUTPUT START---
162 ms | ARRIVE task0
162 ms | ARRIVE task1
162 ms | ARRIVE task2
162 ms | ARRIVE task3
162 ms | ARRIVE task4
162 ms | ARRIVE task5
162 ms | ARRIVE task6
162 ms | ARRIVE task7
164 ms | START task0
164 ms | START task1
165 ms | START task2
166 ms | START task3
212 ms | START task4
220 ms | START task5
223 ms | START task6
223 ms | START task7
12618 ms | END task3
14241 ms | END task5
15436 ms | END task2
16285 ms | END task4
16313 ms | END task7
16493 ms | END task1
16524 ms | END task6
16531 ms | END task0
----OUTPUT END----
