Starting edf benchmarks
We are running edf
All tasks done
Total events: 24
---OUTPUT START---
190 ms | ARRIVE task0
190 ms | ARRIVE task1
190 ms | ARRIVE task2
190 ms | ARRIVE task3
190 ms | ARRIVE task4
190 ms | ARRIVE task5
190 ms | ARRIVE task6
190 ms | ARRIVE task7
192 ms | START task4
2326 ms | END task4
2326 ms | START task5
4781 ms | END task5
4781 ms | START task3
6822 ms | END task3
6822 ms | START task6
8866 ms | END task6
8866 ms | START task1
11144 ms | END task1
11144 ms | START task7
13199 ms | END task7
13199 ms | START task2
15228 ms | END task2
15228 ms | START task0
17269 ms | END task0
----OUTPUT END----
